packet_size,protocol,duration,network,label
1292,UDP,1755622027.515842,good,reel
1292,UDP,1755622027.515842,good,reel
95,UDP,1755622027.516006,good,reel
1292,UDP,1755622027.517512,good,reel
1292,UDP,1755622027.520744,good,reel
95,UDP,1755622027.520858,good,reel
1292,UDP,1755622027.520942,good,reel
1292,UDP,1755622027.526548,good,reel
1292,UDP,1755622027.526548,good,reel
95,UDP,1755622027.526746,good,reel
1292,UDP,1755622027.531965,good,reel
1292,UDP,1755622027.531965,good,reel
95,UDP,1755622027.532242,good,reel
1292,UDP,1755622027.536498,good,reel
1292,UDP,1755622027.536562,good,reel
95,UDP,1755622027.536689,good,reel
1292,UDP,1755622027.536763,good,reel
95,UDP,1755622027.53698,good,reel
94,UDP,1755622027.541943,good,reel
