packet_size,protocol,duration,network,label
93,UDP,1755622391.803096,good,non-reel
93,UDP,1755622391.803151,good,non-reel
93,UDP,1755622391.803198,good,non-reel
93,UDP,1755622391.80327,good,non-reel
93,UDP,1755622391.80331,good,non-reel
93,UDP,1755622391.803358,good,non-reel
93,UDP,1755622391.803398,good,non-reel
93,UDP,1755622391.803438,good,non-reel
98,UDP,1755622391.803487,good,non-reel
93,UDP,1755622391.803525,good,non-reel
1292,UDP,1755622391.804345,good,non-reel
93,UDP,1755622391.804492,good,non-reel
1292,UDP,1755622391.80463,good,non-reel
1292,UDP,1755622391.80463,good,non-reel
93,UDP,1755622391.804711,good,non-reel
1292,UDP,1755622391.804784,good,non-reel
1292,UDP,1755622391.824867,good,non-reel
93,UDP,1755622391.825667,good,non-reel
1292,UDP,1755622391.831214,good,non-reel
1292,UDP,1755622391.831214,good,non-reel
1292,UDP,1755622391.831214,good,non-reel
1292,UDP,1755622391.831214,good,non-reel
1292,UDP,1755622391.831214,good,non-reel
1292,UDP,1755622391.831214,good,non-reel
1292,UDP,1755622391.831214,good,non-reel
1292,UDP,1755622391.831214,good,non-reel
1292,UDP,1755622391.831214,good,non-reel
1292,UDP,1755622391.831214,good,non-reel
1292,UDP,1755622391.831214,good,non-reel
1292,UDP,1755622391.831214,good,non-reel
1292,UDP,1755622391.831214,good,non-reel
1292,UDP,1755622391.831214,good,non-reel
94,UDP,1755622391.831779,good,non-reel
94,UDP,1755622391.831888,good,non-reel
94,UDP,1755622391.831919,good,non-reel
94,UDP,1755622391.831954,good,non-reel
94,UDP,1755622391.831993,good,non-reel
94,UDP,1755622391.832064,good,non-reel
94,UDP,1755622391.832096,good,non-reel
1292,UDP,1755622391.842606,good,non-reel
95,UDP,1755622391.842606,good,non-reel
1292,UDP,1755622391.842606,good,non-reel
1292,UDP,1755622391.842606,good,non-reel
1292,UDP,1755622391.842606,good,non-reel
1292,UDP,1755622391.842606,good,non-reel
1292,UDP,1755622391.842606,good,non-reel
1292,UDP,1755622391.842606,good,non-reel
1292,UDP,1755622391.842606,good,non-reel
1292,UDP,1755622391.842606,good,non-reel
1292,UDP,1755622391.842606,good,non-reel
1292,UDP,1755622391.842606,good,non-reel
1292,UDP,1755622391.842606,good,non-reel
1292,UDP,1755622391.842606,good,non-reel
1292,UDP,1755622391.842606,good,non-reel
1292,UDP,1755622391.842606,good,non-reel
1292,UDP,1755622391.842606,good,non-reel
1292,UDP,1755622391.842606,good,non-reel
1292,UDP,1755622391.842606,good,non-reel
1292,UDP,1755622391.842788,good,non-reel
1292,UDP,1755622391.842788,good,non-reel
95,UDP,1755622391.84303,good,non-reel
95,UDP,1755622391.843094,good,non-reel
95,UDP,1755622391.843117,good,non-reel
95,UDP,1755622391.843136,good,non-reel
95,UDP,1755622391.843155,good,non-reel
95,UDP,1755622391.843174,good,non-reel
95,UDP,1755622391.843194,good,non-reel
95,UDP,1755622391.843215,good,non-reel
100,UDP,1755622391.843243,good,non-reel
1292,UDP,1755622391.843261,good,non-reel
1292,UDP,1755622391.843261,good,non-reel
1292,UDP,1755622391.843261,good,non-reel
95,UDP,1755622391.843271,good,non-reel
95,UDP,1755622391.843424,good,non-reel
1292,UDP,1755622391.84348,good,non-reel
95,UDP,1755622391.843533,good,non-reel
1292,UDP,1755622391.843581,good,non-reel
1292,UDP,1755622391.843736,good,non-reel
95,UDP,1755622391.843881,good,non-reel
1292,UDP,1755622391.843889,good,non-reel
1292,UDP,1755622391.844051,good,non-reel
1292,UDP,1755622391.844173,good,non-reel
95,UDP,1755622391.844202,good,non-reel
1292,UDP,1755622391.844491,good,non-reel
95,UDP,1755622391.844593,good,non-reel
1292,UDP,1755622391.844855,good,non-reel
95,UDP,1755622391.863292,good,non-reel
96,UDP,1755622391.87855,good,non-reel
164,UDP,1755622391.890505,good,non-reel
85,UDP,1755622391.890505,good,non-reel
92,UDP,1755622391.890797,good,non-reel
1292,UDP,1755622391.892956,good,non-reel
1292,UDP,1755622391.892956,good,non-reel
1292,UDP,1755622391.893226,good,non-reel
1292,UDP,1755622391.893226,good,non-reel
1292,UDP,1755622391.893226,good,non-reel
1292,UDP,1755622391.893545,good,non-reel
1292,UDP,1755622391.893545,good,non-reel
1292,UDP,1755622391.8938,good,non-reel
1292,UDP,1755622391.8938,good,non-reel
1292,UDP,1755622391.895965,good,non-reel
1292,UDP,1755622391.895965,good,non-reel
1292,UDP,1755622391.895965,good,non-reel
1292,UDP,1755622391.895965,good,non-reel
1292,UDP,1755622391.895965,good,non-reel
1292,UDP,1755622391.895965,good,non-reel
1292,UDP,1755622391.895965,good,non-reel
1292,UDP,1755622391.895965,good,non-reel
1292,UDP,1755622391.895965,good,non-reel
1292,UDP,1755622391.895965,good,non-reel
1292,UDP,1755622391.895965,good,non-reel
94,UDP,1755622391.896229,good,non-reel
